Djibouti,DJI,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,1487587814
Dominica,DMA,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,638182502.3
Dominican Republic,DOM,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,59109442657
Ecuador,ECU,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,87411173006
"Egypt, Arab Rep.",EGY,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,3.33E+11
El Salvador,SLV,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,34501160346
Equatorial Guinea,GNQ,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,15080074883
Eritrea,ERI,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,2674281821
Estonia,EST,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,22275160169
Ethiopia,ETH,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,47236917845
Faeroe Islands,FRO,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,
Fiji,FJI,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,3556144034
Finland,FIN,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,1.61E+11
France,FRA,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,1.86E+12
French Polynesia,PYF,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,
Gabon,GAB,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,17839029266
"Gambia, The",GMB,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,2404250889
Georgia,GEO,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,15746759948
Germany,DEU,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,2.57E+12
Ghana,GHA,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,26141197001
Greece,GRC,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,2.70E+11
Greenland,GRL,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,
Grenada,GRD,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,1030575524
Guam,GUM,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,
Guatemala,GTM,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,51651820181
Guinea,GIN,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,8778188406
Guinea-Bissau,GNB,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,1390527001
Guyana,GUY,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,1892736259
Haiti,HTI,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,9564420027
Honduras,HND,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,22542303915
"Hong Kong SAR, China",HKG,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,2.43E+11
Hungary,HUN,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,1.71E+11
Iceland,ISL,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,10352808176
India,IND,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,2.52E+12
Indonesia,IDN,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,7.05E+11
"Iran, Islamic Rep.",IRN,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,6.44E+11
Iraq,IRQ,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,82510311622
Ireland,IRL,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,1.62E+11
Isle of Man,IMY,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,
Israel,ISR,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,1.62E+11
Italy,ITA,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,1.66E+12
Jamaica,JAM,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,19147470925
Japan,JPN,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,3.89E+12
Jordan,JOR,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,23456024693
Kazakhstan,KAZ,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,1.32E+11
Kenya,KEN,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,47951376759
Kiribati,KIR,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,215402174.6
"Korea, Dem. Rep.",PRK,"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD,
