Clean,Dirty
0,207
0,231
0,308
0,343
171,1930
15,1361
29,5850
1,761
104,3916
32,511
3,800
103,410
465,2871
156,180
14,136
3,142
275,411
0,158
1,133
11,211
0,371
1,159
0,188
0,160
56,164
1,255
6,239
43,705
3,257
20,252
7,268
16,952
3,1565
26,650
1,388
223,407
0,326
153,375
118,42
0,122
22,161
0,1417
0,498
14,2706
0,1449
26,3128
0,288
0,421
20,741
0,294
978,141
693,3656
386,10693
1,4051
0,1890
29,1832
52,9723
0,1939
26,4217
1,4085
1,335
49,1755
0,186
1,439
33,401
56,1661
229,4151
260,5468
12,480
136,1236
33,743
36,241
11,353
189,2374
608,1200
173,806
92,1072
36,103
476,2253
35,435
41,247
25,319
107,311
806,1140
23,1298
311,1412
290,2307
1765,853
516,370
256,3140
250,1108
184,1512
381,3379
324,1276
838,1271
153,82
1511,541
2278,994
1460,329
1146,802
226,82
2942,2788
857,2934
756,2018
1287,3800
2351,2230
48,674
573,314
642,735
2,309
2186,1979
914,3961
71,592
326,3174
0,744
10,1080
26,482
0,255
71,556
8,204
331,636
5,263
42,226
207,401
0,596
757,27
31,396
12,207
221,343
1983,858
591,1581
1200,494
972,3305
0,1234
6,865
145,5599
3,170
17,242
2,588
68,839
3396,2031
0,170
44,242
0,588
450,839
1,3235
130,66
70,822
0,213
26,448
0,301
476,60
1059,648
157,322
164,618
514,577
734,1428
138,1356
1584,3485
364,298
544,562
0,160
3,1056
0,407
156,6277
1126,1918
6,354
1884,5103
459,1026
693,1129
391,920
829,3297
0,133
0,273
99,232
7,235
8,145
8,200
14,300
1,163
76,272
59,274
19,196
20,407
83,113
1,160
0,138
2,240
56,210
108,40
151,24
93,347
44,228
119,637
96,330
102,297
23,538
3,191
40,340
124,37
93,93
4,133
45,200
4,152
344,107
171,94
74,89
90,215
58,153
35,228
33,106
45,95
41,873
68,212
65,225
99,140
16,217
85,423
128,189
0,171
297,205
91,30
36,225
